poeta	fabula	fpid	line_number_first	line_number_last	numlines	char_numlines	nomen	genus_personae	line_first	line_last	z_old_text	meter_before	meter_after	closure	comments_on_length	comments_other	meter	metertype
Terentius	Adelphoe	TM001464	619	624	6	6	Aeschinus	adulama	accedo, rogito Pamphila quid agat, iam partus adsiet,	nequid de fratre garrulae illi dicerem ac fieret palam.	accedo, rogito Pamphila quid agat, iam partus adsiet, eon obstetricem accersat.  illa exclamat “abi abi iam, Aeschine,...   nequid de fratre garrulae illi dicerem ac fieret palam.	tr7	tr7	per change of thought	long a in Pamphila before diaeresis (cf, Philumena in Hec), then res; eli in abi abi iam, Aeschine; proc, sati diu, res for sat adhuc	explanation of CA’s accusation; AE can’t tell truth for fear of revealing brother; starts accedo, rogito Pamphia quid agat…;  quoting Canthara; ia8 for AE and for CA: both have been ia8 before	ia8	ia
Terentius	Adelphoe	TM001465	712	712	1	1	Aeschinus	adulama	sed cesso ire intro, ne morae meis nuptiis egomet siem?	sed cesso ire intro, ne morae meis nuptiis egomet siem?	sed cesso ire intro, ne morae meis nuptiis egomet siem?	ia7	ia6	quest end of scene last before ia6	almost all longs: contrasts with haste, until res for meis and egomet	back to what had been dominant meter of MI side	ia8	ia
Terentius	Adelphoe	TM001466	934	955	22	7	Aeschinus	adulama	MI. me ducere autem?  DE. te. ME. me? DE. te inquam.  M. ineptis.  DE. si tu sis homo,	DE. effugere.  et dictumst vere et re ipsa fieri oportet.  MI. gaudeo.	MI. me ducere autem?  DE. te. ME. me? DE. te inquam.  M. ineptis.  DE. si tu sis homo,...   DE. effugere.  et dictumst vere et re ipsa fieri oportet.  MI. gaudeo.	ia6	ia6	per end of speech last before ia6	934 short speeches, foot for te me, eli after inquam 936: res and extra shorts for tu autem 937: no res for insanis aufer, res for age da veniam, and satin sanus es; 943 no res for vis est haec quidem; 947 no res, hiatus at diaeresis for Hegio	starts me ducere autem?; ia8 for indignant question; continues through proposals and acquiescence; ending in DE using Micio’s words against him; cf. ia8 earlier where MI and allies in control	ia8	ia
Terentius	Adelphoe	TM001901	161	161	1	1	Aeschinus	adulama	SA. leno ego sum.  AE. scio.  SA. at ita ut usquam fuit fide quisquam optuma.	SA. leno ego sum.  AE. scio.  SA. at ita ut usquam fuit fide quisquam optuma.	SA. leno ego sum.  AE. scio.  SA. at ita ut usquam fuit fide quisquam optuma.	tr8	tr8	per end of thought	3 res	tr7 for start of argument	tr7	tr
Terentius	Adelphoe	TM001903	167	169	3	3	Aeschinus	adulama	AE. abi prae strenue ac fores aperi.  SA. ceterum hoc nihili facis?	(nimium istoc abisti), hic propter hunc adsiste: em sic volo.	AE. abi prae strenue ac fores aperi.  SA. ceterum hoc nihili facis? AE. i intro nunciam.  SA. enim non sinam.  AE. accede illuc, Parmeno (nimium istoc abisti), hic propter hunc adsiste: em sic volo.	ia8	ia8	per end of thought	167 4 res; diaeresis between  AE and SA;  168 many shorts and strange meter; sinam interrupted by elision, then AE slows down at end;  169 1 res; none in command: setting him up carefully; cf. 156	AE ignores Sannio and gives commands to slaves	tr7	tr
Terentius	Adelphoe	TM001914	618	618	1	1	Aeschinus	adulama	nam ut hinc forte ad obstetricem erat missa, ubi vidi, ilico	nam ut hinc forte ad obstetricem erat missa, ubi vidi, ilico	nam ut hinc forte ad obstetricem erat missa, ubi vidi, ilico	colreiz	ia8	enj	1 res (tri in first foot)	transition from canticum to ia8 with nam	tr7	tr
Terentius	Adelphoe	TM001915	625	637	13	13	Aeschinus	adulama	nunc quid faciam?  dicam fratris esse hanc? quod minimest opus	MI. sed quis ostium hic pultavit? AE. pater hercle est: perii. MI. Aeschine,	nunc quid faciam?  dicam fratris esse hanc? quod minimest opus...   (MI) facite; ego Aeschinum conveniam, ut quomodo acta haec sunt sciat. MI. sed quis ostium hic pultavit? AE. pater hercle est: perii. MI. Aeschine,	ia8	ia6	per end of thought before sed and recognition last before ia6	625 2 res; 628 egomet and me on ictus;  631-632 longs for determination;  634 long string of shorts as he bangs on door;  636 starts tri, 1 more res in conveniam;  637 2 res for AE, none for MI	AE knocks on door, Micio enters, talking back to door, ends as MI greets Aeschinus; tr7 for deliberations; 1st long tr7 for Micio’s side; MI continues AE’s meter (cf. DE at 540), then switch to ia6	tr7	tr
Terentius	Adelphoe	TM001916	679	706	28	13	Aeschinus	adulama	MI. quid lacrumas? AE. pater, obsecro, ausculta.  MI. Aeschine, audivi omnia	ego eo intro ut quae opu’ sunt parentur: tu fac ut dixi, si sapis.	MI. quid lacrumas? AE. pater, obsecro, ausculta.  MI. Aeschine, audivi omnia...   MI. ego eo intro ut quae opu’ sunt parentur: tu fac ut dixi, si sapis.—	ia6	ia7	per end of thought exit last before ia6	679 res only for lacrumas and pater;  680 3 res extra shorts;  685, 689, no res;  706 3 res, including ia short of fac ut	Mi tells AE all is OK;  continues through exit of MI; emotional tr7 framed by ia6; tr7 for Micio’s side again	tr7	tr
Terentius	Adelphoe	TM001918	959	997	39	6	Aeschinus	adulama	frugi homo’s.  ergo edepol hodie mea quidem sententia	DE. habeat: in istac finem faciat.  MI. istuc recte.  CANTOR. plaudite!	frugi homo’s.  ergo edepol hodie mea quidem sententia...   DE. habeat: in istac finem faciat.  MI. istuc recte.  CANTOR. plaudite!	ia8	end of play	end of play	959 3 res; many shorts;  974 remarkable string of shorts as he describes Phrygia; 977 no res as he promises money; 988 longs for gerunds;  997 2 res	freeing of Syrus; switch to final tr7 for the coup-de-grace	tr7	tr
Terentius	Adelphoe	TM002039	155	157	3	2	Aeschinus	adulama	obsecro, populares, ferte misero atque innocenti auxilium,	quid respectas? nil periclist: numquam dum ego adero hic te tanget.	SA. obsecro, populares, ferte misero atque innocenti auxilium, subvenite inopi.  AE. otiose: nunciam ilico hic consiste. quid respectas? nil periclist: numquam dum ego adero hic te tanget.	ia6	tr4cat	per end of speech	155 3 res (SAN) —u/—uu/——/—u//uu—/—u/——/uu—;  156 1 res (AES) —u/—uu/—u/——//—u/—u/——/—u;  157 1 res (AES) ——/——/—u/——//——/uuu/——/——	tr8 for excited opening, 1st music; cf. Phormio 153 etc.	tr8	tr
Terentius	Adelphoe	TM002099	610a	610a	1	1	Aeschinus	adulama	hocin de inproviso mali    mi obici tantum?	hocin de inproviso mali    mi obici tantum?	hocin de inproviso mali mihi obici tantum	colreiz	chor2	enj before result clause	longs at opening		crcol	cr
Terentius	Adelphoe	TM002099	610a	610a	1	1	Aeschinus	adulama	hocin de inproviso mali    mi obici tantum?	hocin de inproviso mali    mi obici tantum?	hocin de inproviso mali mihi obici tantum	colreiz	chor2	enj before result clause	longs at opening		ia4crcol	ia
Terentius	Adelphoe	TM002335	614	614	1	1	Aeschinus	adulama	quomodo me ex hac    expediam turba?	quomodo me ex hac    expediam turba?	quomodo me ex hac   expediam turba?	cho2crcol	tr4	question			colreiz	reiz
Terentius	Adelphoe	TM002335	614	614	1	1	Aeschinus	adulama	quomodo me ex hac    expediam turba?	quomodo me ex hac    expediam turba?	quomodo me ex hac   expediam turba?	cho2crcol	tr4	question			crcolcolreiz	cr
Terentius	Adelphoe	TM002336	638	678	41	26	Aeschinus	adulama	AE. quid huic hic negotist?  MI. tune has pepulisti fores?	nostra?  aut quid nobis cum illis?  abeamus.  quid est?	AE. quid huic hic negotist?  MI. tune has pepulisti fores?...   MI. nostra?  aut quid nobis cum illis?  abeamus.  quid est?	tr7	tr7	quest end of speech		Micio tells story about girl to be married; information, deception; allows contrast at 679; music off at greeting; Micio is playing calm;  tacet with switch to ia6 (639)	ia6	ia
Terentius	Adelphoe	TM002338	882	933	52	11	Aeschinus	adulama	heus, Demea, orat frater ne abeas longius.	hanc te aequomst ducere, et te operam ut fiat dare.	heus, Demea, orat frater ne abeas longius....   DE. hanc te aequomst ducere, et te operam ut fiat dare.	tr7	ia8	per end of speech		Demea nice to Syrus; nice to Geta; Demea orders wall down; marriage of Micio proposed;  music off for Syrus' entrance: allows contrast with Micio's shock at 934; calm emphasizes Demea in control; Micio side brings stop to music;  Micio does not start music with first surprise, but with second	ia6	ia
Terentius	Adelphoe	TM002339	956	957	2	1	Aeschinus	adulama	MI. quid istic? dabitur quando quidem hic volt.  AE. mi pater!	nunc tu germanu’s pariter animo et corpore.	MI. quid istic? dabitur quando quidem hic volt.  AE. mi pater! DE. nunc tu germanu’s pariter animo et corpore.	ia8	ia8	per end of thought before parenthesis		agreement to give land to Hegio	ia6	ia
Terentius	Adelphoe	TM001455	289	291	3	2	Canthara	anus	recte edepol spero.  modo dolores, mea tu, occipiunt primulum:	miseram me, neminem habeo (solae sumu’; Geta autem hic non adest)	recte edepol spero.  modo dolores, mea tu, occipiunt primulum: iam nunc times, quasi numquam adfueris, numquam tute pepereris? SO, miseram me, neminem habeo (solae sumu’; Geta autem hic non adest)	tr7	tr7	enj after parenthesis before nec	289 dac sp dac ia dac dac sp ia; 3 res in 290, 2 res in 291	CA describes birth to come; rebukes SO for worrying, but she worries anyway; enjambment after; important information in ia8	ia8	ia
Terentius	Adelphoe	TM001456	293	294	2	2	Canthara	anus	pol is quidem iam hic aderit; nam numquam unum intermittit diem	CA. quin semper veniat.  SO. solu’ mearum miseriarumst remedium.	CA. pol is quidem iam hic aderit; nam numquam unum intermittit diem CA. quin semper veniat.  SO. solu’ mearum miseriarumst remedium.	tr7	tr7	per end of speech	293 2 res; 294 3 res	CA. reassures SO. that Aeschinus will come; echo of 289-291; SO tr7 CA ia8	ia8	ia
Terentius	Adelphoe	TM001458	305	316	12	1	Canthara	anus	me miseram, quidnam est quod sic video timidum et properantem Getam?	sublime[m] medium primum arriperem et capite in terra statuerem,	SO. me miseram, quidnam est quod sic video timidum et properantem Getam?...  (GET) sublime[m] medium primum arriperem et capite in terra statuerem,	tr7	ia4	comma	305 4 res;  306 4 res;  307 2 res echo in repressit neque reflexit;  308 3 res; many res throughout; 313 1 res, hiatus, as he ponders	Sostrata worries, Geta wishes he could smash up Aeschinus’ family; ia8 for great anger; this time SO switches to ia8	ia8	ia
Terentius	Adelphoe	TM001460	330	354	25	3	Canthara	anus	me miseram! quid iam credas aut quoi credas?  nostrumne Aeschinum,	curre, obstetricem accerse, ut quom opu’ sit ne in mora nobis siet.	me miseram! quid iam credas aut quoi credas?  nostrumne Aeschinum, nostram vitam omnium, in quo nostrae spes opesque omnes sitae erant?...  curre, obstetricem accerse, ut quom opu’ sit ne in mora nobis siet.	tr7	ia6	per end of scene last before ia6	330 all longs except miseram and Aeschinum; 331 just 2 shorts, no res; 335: more res for Geta	starts me miseram! ; SO., CA. and GE debate what to do; she decides to fetch Hegio; SOS keeps introducing ia8 here	ia8	ia
Terentius	Adelphoe	TM001905	288	288	1	1	Canthara	anus	SO. obsecro, mea nutrix, quid nunc fiet?  CA. quid fiet, rogas?	SO. obsecro, mea nutrix, quid nunc fiet?  CA. quid fiet, rogas?	SO. obsecro, mea nutrix, quid nunc fiet?  CA. quid fiet, rogas?	ia8	ia8	quest  end of thought	1 res, rep of quid	echoes obsecro of 155 (that was tr8); tr7 for opening ardent question	tr7	tr
Terentius	Adelphoe	TM001907	295	298	4	3	Canthara	anus	e re nata meliu’ fieri haud potuit quam factumst, era,	ita pol est ut dici’: salvo’ nobis deos quaeso ut siet.	e re nata meliu’ fieri haud potuit quam factumst, era, quando vitium oblatumst, quod ad illum attinet potissimum, talem, tali genere atque animo, natum ex tanta familia. SO. ita pol est ut dici’: salvo’ nobis deos quaeso ut siet.	ia8	ia8	per end of scene (entrance)	res: 295 3, 296 2, 297 3, 298 1 (SO)	at least Aeschinus was rapist; ending CA SO scene; now CA starts tr7	tr7	tr
Terentius	Adelphoe	TM001910	321	329	9	2	Canthara	anus	GE. quisqui’s, sine me.  SO ego sum Sostrata.  GE. ubi east? te ipsam quaerito.	SO. satin hoc certumst?  GE. certum; hisce oculis egomet vidi, Sostrata.  SO. ah	GE. quisqui’s, sine me.  SO ego sum Sostrata.  GE. ubi east? te ipsam quaerito....   SO. satin hoc certumst?  GE. certum; hisce oculis egomet vidi, Sostrata.  SO. ah	ia8	ia8	enjambment after ah	321 3 res;  329 3 res	Geta tells Sostrata news; relayal of news in tr7 (but very excited: hard to get it out of him); cf. 295: we are getting exposition in tr7	tr7	tr
Terentius	Adelphoe	TM001918	959	997	39	1	CantorAde	CANTOR	frugi homo’s.  ergo edepol hodie mea quidem sententia	DE. habeat: in istac finem faciat.  MI. istuc recte.  CANTOR. plaudite!	frugi homo’s.  ergo edepol hodie mea quidem sententia...   DE. habeat: in istac finem faciat.  MI. istuc recte.  CANTOR. plaudite!	ia8	end of play	end of play	959 3 res; many shorts;  974 remarkable string of shorts as he describes Phrygia; 977 no res as he promises money; 988 longs for gerunds;  997 2 res	freeing of Syrus; switch to final tr7 for the coup-de-grace	tr7	tr
Terentius	Adelphoe	TM001918	959	997	39	1	CantorAde	Caterva?	frugi homo’s.  ergo edepol hodie mea quidem sententia	DE. habeat: in istac finem faciat.  MI. istuc recte.  CANTOR. plaudite!	frugi homo’s.  ergo edepol hodie mea quidem sententia...   DE. habeat: in istac finem faciat.  MI. istuc recte.  CANTOR. plaudite!	ia8	end of play	end of play	959 3 res; many shorts;  974 remarkable string of shorts as he describes Phrygia; 977 no res as he promises money; 988 longs for gerunds;  997 2 res	freeing of Syrus; switch to final tr7 for the coup-de-grace	tr7	tr
Terentius	Adelphoe	TM001454	254	287	34	20	Ctesipho	adulama	abs quivis homine, quom est opus, beneficium accipere gaudeas;	ita quaeso.  quando hoc bene successit, hilare[m] hunc sumamus diem.	SY. de amica.  SA. quid quod te oro?  SY. paullisper mane. verum enimvero id demum iuvat si quem aequomst facere is bene facit....   CT. ita quaeso.  quando hoc bene successit, hilare[m] hunc sumamus diem.	ia6	tr7	per end of scene (all exit)	254-255, 287 and Ctesipho’s lines in general, many res; but note longs for frater frater (256) and Aeschinus (260), festivom caput (261) ipse exit foras (264), 268 fratrem: o mi Aeschine, o me germane! ah (268-269); 277 longs for ego a forum ibo ut hunc absolvam	Ctesipho praises brother; AE rebukes CT, SA taken care of; back to ia8: same for AE, CT, SY, opposed to tr7 and ia6 of SA	ia8	ia
Terentius	Adelphoe	TM001461	519	522	4	4	Ctesipho	adulama	quod cum salute ei(u)s fiat, ita se defetigarit velim	misere nimi’ cupio, ut coepi, perpetuom in laetitia degere.	quod cum salute ei(u)s fiat, ita se defetigarit velim ut triduo hoc perpetuo prorsum e lecto nequeat surgere. SY. ita fiat, et istoc siqui potis est rectius.  CT. ita; nam hunc diem misere nimi’ cupio, ut coepi, perpetuom in laetitia degere.	tr7	tr8	per end of thought	519 no res first half (condition), 2 in 2nd half (wish); 520 2, 521 4, 522 5	CT. wishes DE would get too tired to move; he wants laetitia; CT ia8: cf. 1st scenes	ia8	ia
Terentius	Adelphoe	TM001462	527	540	14	10	Ctesipho	adulama	rogitabit me ubi fuerim: “ego hodie toto non vidi die.”	DE. ne ego homo sum infelix: primum fratrem nusquam invenio gentium;	rogitabit me ubi fuerim: “ego hodie toto non vidi die.”...   DE. ne ego homo sum infelix: primum fratrem nusquam invenio gentium;	tr7	tr7	semicolon	res and eli in 527; 528 no res;  529 no res 2-word feet; 538 res for CT;  L-K app. crit: ter of pater long, or 1 mss. and schol have pater adest; vel troch sept.; 539 no res for CT; 540 shorts for ne ego homo sum infelix	527 would be tr7 without hiatus after me and with ia shortening of ubi; CT worries about DE coming, Sy tells him to lie, says how he will praise CT to throw off DE; they see DE; continues through DE’s first line: ne ego homo sum infelix: primum fratrem nusquam invenio gentium; ia8 for opening exclamation; switch to ia8 after colon, reporting what Demea will do; note Demea continues their meter, although he starts scene; this reinforces sense that they control; note that Hermann secl. primum and makes 540 a tr7; also E1 has no homo	ia8	ia
Terentius	Adelphoe	TM001572	524	524	1	1	Ctesipho	adulama	quod si abesset longius,	quod si abesset longius,	quod si abesset longius,	tr8	tr8	comma	tr sp tr short		tr4cat	tr
Terentius	Adelphoe	TM001911	518	518	1	1	Ctesipho	adulama	SY. nunc quom maxume operis aliquid facere credo.  CT. utinam quidem!	SY. nunc quom maxume operis aliquid facere credo.  CT. utinam quidem!	SY. nunc quom maxume operas aliquid facere credo.  CT. utinam quidem!	tr8	ia8	excl end of thought before quod	4 res, 3 in a row	excl in tr7	tr7	tr
Terentius	Adelphoe	TM001912	526	526	1	1	Ctesipho	adulama	nunc ubi me illi[c] non videbit, iam huc recurret, sat scio:	nunc ubi me illi[c] non videbit, iam huc recurret, sat scio:	nunc ubi me illi[c] non videbit, iam huc recurret, sat scio:	tr8	ia8	colon	1 res	tr7 for switch from hypothetical to real; tr8 tr7 pair (cf. 517-518)	tr7	tr
Terentius	Adelphoe	TM001913	541	591	51	5	Ctesipho	adulama	praeterea autem, dum illum quaero, a villa mercennarium	carpam et cyathos sorbilans paullatim hunc producam diem.	praeterea autem, dum illum quaero, a villa mercennarium...  (SY) carpam et cyathos sorbilans paullatim hunc producam diem.	ia8	ia8	per end of scene	541 1 res; note shorts at 553: SY. age, tamen ego hunc amovebo.— DE. sed eccum sceleratum Syrum.;  554 longs no res for lament, but 555 lament continues with 6 res; many res in what follows, also extra shorts; 561 longs no res;  577 shorts hard to scan as he gives directions;  578 no res for response, then few res as directions continue	starts with his saying how he heard CT. was not in the country;  interesting that it starts in Demea’s 2nd line: his first line is in ia8, same as in previous scene; SY. gets rid of DE; 1st tr7 greater than 12 lines in play; cf. tr7 associated with SA in first scenes; we would expect tr opening exclamation: but he stays for a line in ia8 of previous scene;  note that Hermann secl. primum and makes 540 a tr7; also E1 has no homo	tr7	tr
Terentius	Adelphoe	TM002044	517	517	1	1	Ctesipho	adulama	CT. ain patrem hinc abisse rus?  SY. iamdudum.  CT. dic sodes.  SY. apud villamst:	CT. ain patrem hinc abisse rus?  SY. iamdudum.  CT. dic sodes.  SY. apud villamst:	CT. ain patrem hinc abisse rus?  SY. iamdudum.  CT. dic sodes.  SY. apud villamst:	ia6	tr7	colon	1 res for apud: uuu/—u/—u/——/——/——/—uu/——	tr8 for opening question; cf. Phormio 153 etc.	tr8	tr
Terentius	Adelphoe	TM002045	523	523	1	1	Ctesipho	adulama	et illud rus nulla alia causa tam male odi nisi quia propest:	et illud rus nulla alia causa tam male odi nisi quia propest:	et illud rus nulla alia causa tam male odi nisi quia propest:	ia8	tr4cat	colon	4 res: uu—/——/uu—/——//—u/——/uuu/uu—	tr8 for excl; ends ia8; A.S. Gratwick (ed.) Terence: The Brothers (2nd ed., Warminster, Eng., 1999) says these are tr4	tr8	tr
Terentius	Adelphoe	TM002046	525	525	1	1	Ctesipho	adulama	priu’ nox oppressisset illi quam huc revorti posset iterum.	priu’ nox oppressisset illi quam huc revorti posset iterum.	priu’ nox oppressisset illi quam huc revorti posset iterum.	tr4cat	tr7	per end of thought before nunc	2 res at opening and close:  uu—/——/——/——//—u/——/——/uu—		tr8	tr
Terentius	Adelphoe	TM001462	527	540	14	1	Demea	sen	rogitabit me ubi fuerim: “ego hodie toto non vidi die.”	DE. ne ego homo sum infelix: primum fratrem nusquam invenio gentium;	rogitabit me ubi fuerim: “ego hodie toto non vidi die.”...   DE. ne ego homo sum infelix: primum fratrem nusquam invenio gentium;	tr7	tr7	semicolon	res and eli in 527; 528 no res;  529 no res 2-word feet; 538 res for CT;  L-K app. crit: ter of pater long, or 1 mss. and schol have pater adest; vel troch sept.; 539 no res for CT; 540 shorts for ne ego homo sum infelix	527 would be tr7 without hiatus after me and with ia shortening of ubi; CT worries about DE coming, Sy tells him to lie, says how he will praise CT to throw off DE; they see DE; continues through DE’s first line: ne ego homo sum infelix: primum fratrem nusquam invenio gentium; ia8 for opening exclamation; switch to ia8 after colon, reporting what Demea will do; note Demea continues their meter, although he starts scene; this reinforces sense that they control; note that Hermann secl. primum and makes 540 a tr7; also E1 has no homo	ia8	ia
Terentius	Adelphoe	TM001466	934	955	22	17	Demea	sen	MI. me ducere autem?  DE. te. ME. me? DE. te inquam.  M. ineptis.  DE. si tu sis homo,	DE. effugere.  et dictumst vere et re ipsa fieri oportet.  MI. gaudeo.	MI. me ducere autem?  DE. te. ME. me? DE. te inquam.  M. ineptis.  DE. si tu sis homo,...   DE. effugere.  et dictumst vere et re ipsa fieri oportet.  MI. gaudeo.	ia6	ia6	per end of speech last before ia6	934 short speeches, foot for te me, eli after inquam 936: res and extra shorts for tu autem 937: no res for insanis aufer, res for age da veniam, and satin sanus es; 943 no res for vis est haec quidem; 947 no res, hiatus at diaeresis for Hegio	starts me ducere autem?; ia8 for indignant question; continues through proposals and acquiescence; ending in DE using Micio’s words against him; cf. ia8 earlier where MI and allies in control	ia8	ia
Terentius	Adelphoe	TM001467	958	958	1	1	Demea	sen	DE. (suo sibi gladio hunc iugulo.)  SY. factumst quod iussisti, Demea.	DE. (suo sibi gladio hunc iugulo.)  SY. factumst quod iussisti, Demea.	DE. (suo sibi gladio hunc iugulo.)  SY. factumst quod iussisti, Demea.	ia6	tr7	per end of speech last before ia6	3 res in Demea’s aside, then none for SY	Demea makes final two meter changes, and he brings last music with this verse; Syrus continues his meter (and his verse) as he continued Syrus’ meter at 540; he uses the ia8 that were earlier connected with Micio and allies	ia8	ia
Terentius	Adelphoe	TM001913	541	591	51	26	Demea	sen	praeterea autem, dum illum quaero, a villa mercennarium	carpam et cyathos sorbilans paullatim hunc producam diem.	praeterea autem, dum illum quaero, a villa mercennarium...  (SY) carpam et cyathos sorbilans paullatim hunc producam diem.	ia8	ia8	per end of scene	541 1 res; note shorts at 553: SY. age, tamen ego hunc amovebo.— DE. sed eccum sceleratum Syrum.;  554 longs no res for lament, but 555 lament continues with 6 res; many res in what follows, also extra shorts; 561 longs no res;  577 shorts hard to scan as he gives directions;  578 no res for response, then few res as directions continue	starts with his saying how he heard CT. was not in the country;  interesting that it starts in Demea’s 2nd line: his first line is in ia8, same as in previous scene; SY. gets rid of DE; 1st tr7 greater than 12 lines in play; cf. tr7 associated with SA in first scenes; we would expect tr opening exclamation: but he stays for a line in ia8 of previous scene;  note that Hermann secl. primum and makes 540 a tr7; also E1 has no homo	tr7	tr
Terentius	Adelphoe	TM001917	855	881	27	27	Demea	sen	numquam ita quisquam bene subducta ratione ad vitam fuit	deerit: id mea minime refert qui sum natu maxumus.	numquam ita quisquam bene subducta ratione ad vitam fuit...   deerit: id mea minime refert qui sum natu maxumus.	ia6	ia6	per whole scene (entrance at end) last before ia6	855 3 res;  there seem to be a good number of res throughout here;  866 list; 872ff. illum at ictusand line openings; 876 4 res for climax; 877 res for age age;  881 3 res	Demea monologue of conversion	tr7	tr
